Id,SalePrice
1461,180001.74786276175
1462,180156.93699666945
1463,180009.05040195549
1464,180187.99039070526
1465,180210.70039742911
1466,180230.48775811039
1467,180261.20351014126
1468,180470.07969326456
1469,180258.03366533792
1470,180166.30829086137
1471,180001.44115934873
1472,180054.53205849326
1473,180241.88910219495
1474,180100.92003751695
1475,180341.86901681221
1476,180102.1396980274
1477,180203.53394423675
1478,180120.46540183426
1479,180166.19037024738
1480,180072.25927937211
1481,180068.76025586101
1482,180175.99088887332
1483,180180.17066167627
1484,179899.49963014206
1485,180146.24446317484
1486,180332.5678105937
1487,180100.89009692561
1488,180234.84816115868
1489,180107.99166868391
1490,180213.13457226558
1491,180080.93855399589
1492,179718.18297965033
1493,180052.88389472989
1494,180230.74998965254
1495,180269.17032652342
1496,180236.31804702614
1497,180214.30597954639
1498,180196.35063641713
1499,180132.3592690381
1500,179069.4993659847
1501,180159.89587381846
1502,180375.81286476081
1503,180152.75815395894
1504,180136.27427709816
1505,180652.61491544658
1506,180181.79524044017
1507,180037.91374493085
1508,180175.64858261816
1509,180055.16579668061
1510,180375.11480056684
1511,180059.05052849595
1512,180278.13639433612
1513,179416.22447107601
1514,180167.10794831018
1515,180059.49983305554
1516,180137.41743387672
1517,180146.07477837443
1518,180115.86960095254
1519,180127.87975267271
1520,180032.95388776259
1521,180071.9554681711
1522,180097.97647979413
1523,180059.57531581493
1524,180207.29618453118
1525,180521.88325627582
1526,180182.81101430891
1527,180169.86992278605
1528,180307.40672328902
1529,180127.20963971323
1530,180236.50459551753
1531,180156.89582849268
1532,180016.27718516337
1533,180116.03115047561
1534,180098.32457507943
1535,180155.71731019887
1536,180119.17438964039
1537,180007.06836761994
1538,180189.70046434787
1539,180146.03142462092
1540,180173.86889208801
1541,179943.52043891844
1542,180206.95399801916
1543,180143.05409931333
1544,180109.29063617342
1545,180243.24994650623
1546,180324.72122020321
1547,179864.86811995774
1548,180094.14057874249
1549,180123.46596897731
1550,180221.2483244781
1551,180107.04536379731
1552,180148.23093181959
1553,180180.8417781516
1554,180352.21701901613
1555,180182.96064127941
1556,180281.14328083393
1557,180335.1242298017
1558,180036.95715776811
1559,180179.73259284682
1560,180108.11190679163
1561,180204.36363706252
1562,180057.39872636995
1563,180181.25608591866
1564,180287.2286953734
1565,180089.28115026382
1566,180172.98497843547
1567,180127.49453962629
1568,180202.13960301547
1569,180143.33620644599
1570,180158.18459625365
1571,180346.61456552206
1572,180094.37439495284
1573,180033.42393253473
1574,180111.53594474064
1575,180200.55908071817
1576,180137.24064249906
1577,180135.4565769039
1578,180200.80372213596
1579,180249.00672034689
1580,180418.350801697
1581,180236.46502784302
1582,180309.30816137849
1583,180004.37376874106
1584,180267.45624984094
1585,180237.62817922817
1586,180176.37068809586
1587,180184.51485215771
1588,180015.08231881907
1589,180189.86938782432
1590,180194.07064148612
1591,180170.22411304043
1592,180537.16379559523
1593,180459.63589291699
1594,180002.75670858903
1595,180190.74722935972
1596,180194.92990459877
1597,180229.65853853145
1598,180182.87800825213
1599,180053.39426889017
1600,180211.77281995554
1601,180150.53114920115
1602,180004.19520571298
1603,180192.21230742935
1604,180194.28489663143
1605,180220.26883821096
1606,180215.62044872902
1607,180135.80841822532
1608,180116.18371954214
1609,180149.5222995478
1610,179990.45952030321
1611,180140.97489522822
1612,180057.87328116701
1613,180180.76097633678
1614,180180.84134760438
1615,180224.03451517824
1616,180232.40219472247
1617,180093.20652874527
1618,180182.35751790347
1619,180209.81720157084
1620,180155.03079597058
1621,180134.28731102185
1622,180191.03894875463
1623,180100.69752348677
1624,180258.77820323387
1625,180190.67394188873
1626,180034.09804977186
1627,180429.36278783958
1628,180211.86661770983
1629,180223.95495086571
1630,180219.99946883105
1631,180207.82032419933
1632,180279.72657971029
1633,180025.77278098444
1634,180305.1634542149
1635,180158.24829103629
1636,180132.03563831185
1637,180152.13403126472
1638,180154.49619638029
1639,180121.56642879077
1640,180130.12943536078
1641,180102.8060530198
1642,180220.89082613465
1643,180166.89861640986
1644,180090.14355963745
1645,180225.65889997402
1646,179380.03959663445
1647,180331.16093747967
1648,180088.83056660939
1649,180085.79821755274
1650,180198.70568694425
1651,180047.50996747415
1652,180027.59832439158
1653,180234.59474122687
1654,180127.61615034105
1655,180141.50682313036
1656,180097.09977380664
1657,180145.27040360673
1658,180189.464232792
1659,180390.49309549783
