SalePrice,id
120129.31638285158,1461
153008.7893127486,1462
181999.67177216802,1463
195952.28499780234,1464
197477.7032122032,1465
171222.79686163203,1466
178212.06857705885,1467
161123.56528457563,1468
193898.42022121898,1469
119925.53447730588,1470
189952.6237905828,1471
97385.89877839465,1472
96173.54601725194,1473
146413.76269308914,1474
113408.40023227451,1475
363559.0685025456,1476
250762.12819425573,1477
294599.0955914544,1478
299293.44565708295,1479
474977.72866128816,1480
325368.69135204714,1481
210850.50276419712,1482
177057.7675850431,1483
162710.8451215371,1484
191473.81632830817,1485
193107.85630871565,1486
339866.0295461018,1487
238341.40563298418,1488
193749.491017526,1489
231349.0034469988,1490
195043.96090914906,1491
92756.67611514157,1492
189749.5884392125,1493
299951.29334589036,1494
293285.5911212206,1495
235701.96234904378,1496
179388.2743013592,1497
167787.27829460712,1498
162374.42494970985,1499
152697.8960481466,1500
174507.64199408883,1501
145503.6506212222,1502
290290.3870962347,1503
242518.9634867157,1504
225593.85017791664,1505
188193.22519878772,1506
245834.5514780437,1507
202873.81058026484,1508
163898.0469976302,1509
143480.43843618763,1510
148092.6730057099,1511
175334.25764609524,1512
152363.3936249807,1513
155109.78084422945,1514
197374.46850365406,1515
157898.1108176086,1516
168347.74792537407,1517
132466.496844432,1518
209170.3722104455,1519
127540.30850578842,1520
130083.43999928536,1521
178496.0928989455,1522
110130.44909133464,1523
125686.48217263765,1524
120266.16231472118,1525
113488.37444080878,1526
107566.08465710806,1527
137378.38934699463,1528
149722.5220212774,1529
184338.31192067437,1530
105988.75185360062,1531
98505.55209054302,1532
142816.38267748785,1533
127215.23655111801,1534
147673.86296000832,1535
106379.05704344086,1536
64977.60745299986,1537
147236.9720549623,1538
191933.60915635532,1539
94263.48389404154,1540
138707.10514196922,1541
139649.16783362295,1542
189700.66251999213,1543
85067.98504383789,1544
115257.94054333318,1545
135137.9479792653,1546
127884.17061106034,1547
138708.27871356037,1548
119838.52411651253,1549
135618.02321826073,1550
108885.03106547246,1551
136390.89906477084,1552
148289.7647749196,1553
116891.79147110373,1554
160376.90131114126,1555
85485.21858199107,1556
105780.81386395833,1557
97580.45125685321,1558
63552.8031831733,1559
134335.23100407387,1560
129372.76495233337,1561
130057.27797173712,1562
117918.52381134818,1563
155071.55198099776,1564
150955.30173257223,1565
237772.53074719795,1566
76404.0554983284,1567
230818.44131562527,1568
127780.26853477283,1569
139167.4721851162,1570
123247.99628658082,1571
142090.06900251648,1572
236848.78703014084,1573
118411.16056848981,1574
228294.6708937115,1575
241692.71437702083,1576
182201.70496060743,1577
148720.25131924916,1578
144283.67460411982,1579
196843.8694239307,1580
153037.43531194533,1581
125687.56299674728,1582
295889.05088129675,1583
216154.0872743593,1584
136126.4854794615,1585
67143.71165501342,1586
104989.74609257629,1587
151179.16829745108,1588
96656.18719289276,1589
133891.40280903337,1590
92120.81366992672,1591
114189.85781279943,1592
127669.16813535168,1593
123646.9654616617,1594
107500.42835079675,1595
222575.50662365538,1596
193546.99044039924,1597
227982.70331666223,1598
172655.92887205415,1599
162810.2697234945,1600
68670.55669450256,1601
117135.34213046759,1602
71358.11761283714,1603
260213.84074000374,1604
243774.09133268538,1605
168701.8701135877,1606
173316.4646984689,1607
214613.92027023603,1608
185339.30648893543,1609
150446.78083309537,1610
138184.6466814833,1611
170111.54462348716,1612
161412.0306866152,1613
128011.18176654405,1614
93618.2307570484,1615
77864.51966472283,1616
95346.84585714205,1617
124769.01112066244,1618
140093.18890817062,1619
152267.5507211408,1620
138619.2757365332,1621
141655.74710064256,1622
261268.10001323366,1623
209360.69420740515,1624
120859.53691300002,1625
170452.54903500894,1626
190582.15034069953,1627
280021.0948513829,1628
184313.18863868652,1629
345037.3742923682,1630
230401.94780487745,1631
244459.26090129744,1632
174440.99603746372,1633
185156.26676201116,1634
176706.7483973536,1635
152578.34298140154,1636
199100.54587703626,1637
181426.71434846768,1638
190515.84547789762,1639
250882.9260563159,1640
183790.88245750172,1641
237825.68560509488,1642
216168.54511921693,1643
232651.5564683586,1644
196243.38832732616,1645
158437.26408653505,1646
162485.07393802598,1647
130092.80997566262,1648
138945.29758464964,1649
114357.9575302981,1650
120810.78307246086,1651
97580.94236973498,1652
99581.89276235165,1653
145872.11302769248,1654
138767.47796651215,1655
140735.6985407333,1656
147519.48764329636,1657
142980.1756604123,1658
119989.07625446939,1659
155445.67532750237,1660
419298.6280886656,1661
409960.1644741662,1662
380156.93196917453,1663
405317.026725237,1664
304524.52794060117,1665
332727.80039300356,1666
378054.47774956364,1667
345331.79980074166,1668
314023.81566501176,1669
355979.9717373747,1670
257720.4358198642,1671
422106.3356117003,1672
290130.455588799,1673
241744.7427118794,1674
191549.8975196841,1675
190618.3453557122,1676
217118.76686261428,1677
438373.3817100824,1678
384877.2593287705,1679
328430.5620694675,1680
251804.62614685172,1681
